canonical_name,connector_type,sitemap_url_or_endpoint,job_url_regex,robots_result,terms_caveat,test_result,recommend_enable
"Amazon","jsonld_pages","https://www.amazon.jobs/en/search.json","^https://www\.amazon\.jobs/en/jobs/[0-9]+/[^?#]+$","200; generic user-agent disallows only internal-language paths; /en/search.json and public /en/jobs paths are allowed","The first-party JSON endpoint is used by Amazon's public search UI but is not a documented API contract. Use a descriptive user agent, low rate, conditional requests if offered, and never call apply/account endpoints.","GET search.json with a US Software Development Engineer query returned 200 application/json, hits=1704 and 10 requested records; records include id_icims, job_path and posted_date. Sample /en/jobs/10421838 page returned 200 but exposed no JobPosting JSON-LD/datePosted; use JSON posted_date, not page metadata.","true"
"Google","sitemap","https://www.google.com/about/careers/applications/jobs/sitemap.xml","^https://(?:careers\.google\.com/jobs/results|www\.google\.com/about/careers/applications/jobs/results)/[0-9]+-[^?#]+/?$","200 robots.txt explicitly disallows /about/careers/applications/jobs/results, which covers the redirected job-detail pages and search results","Do not automate this source: the explicit generic-user-agent Disallow overrides the fact that a job sitemap URL is publicly reachable.","Sitemap returned 200 XML with 3396 URLs. A sampled URL redirected to a 200 www.google.com job page, but the page had no schema.org JobPosting or datePosted. Sitemap lastmod exists but is not a safe substitute for original posting date.","false"
"Microsoft","sitemap","https://apply.careers.microsoft.com/careers/sitemap_index.xml","^https://apply\.careers\.microsoft\.com/careers/job/[0-9]+-[^?#]+\?domain=microsoft\.com(?:&.*)?$","200; robots.txt defaults to Disallow / but explicitly Allows /careers and related career UI paths","Use only the robots-permitted sitemap and public job pages. Do not use candidate, login, apply, or undocumented career-hub APIs even though some are listed in robots.","Sitemap and child returned 200 XML; child contained 2105 job URLs (2106 URLs total). Sample job page returned 200 with schema.org JobPosting and datePosted=2026-08-20T20:05:22.","true"
"Meta","sitemap","https://www.metacareers.com/jobsearch/sitemap.xml","^https://www\.metacareers\.com/profile/job_details/[0-9]+/?$","200 and the sitemap is declared, but robots.txt begins with an explicit notice that automated data collection is prohibited without express written permission","Meta's own robots notice links to http://www.facebook.com/apps/site_scraping_tos_terms.php and requires express written permission. Public sitemap availability is not permission; keep manual unless permission is obtained.","Sitemap returned 200 XML with 878 job URLs. Sample job page returned 200 and exposed JobPosting/datePosted=2025-06-10T16:47:47-07:00, but the explicit automation prohibition controls the recommendation.","false"
"Apple","manual","","^https://jobs\.apple\.com/en-us/details/[0-9A-Za-z-]+/[^?#]+(?:\?.*)?$","robots.txt returned 404; no affirmative sitemap allowance was found","The public search page is server-rendered but its embedded application state is an undocumented interface. No public job sitemap or read-only feed was found; do not automate absent a supported endpoint and terms review.","/sitemap.xml returned 404; /api/v1/search returned 401. The public search page returned 200 with embedded results. A sampled detail page returned 200 but exposed no JobPosting JSON-LD or datePosted.","false"
"Netflix","sitemap","https://explore.jobs.netflix.net/careers/sitemap_index.xml?domain=netflix.com&microsite=netflix.com","^https://explore\.jobs\.netflix\.net/careers/job/[0-9]+-[^?#]+\?domain=netflix\.com&microsite=netflix\.com(?:&.*)?$","200; robots.txt explicitly Allows /careers and declares the exact sitemap index","Use the sitemap and public pages only; do not call apply, candidate, login, or undocumented Eightfold APIs. Preserve the domain and microsite query parameters from sitemap URLs.","Index and child returned 200 XML; child contained 507 job URLs (508 URLs total). Sample Software Engineer page returned 200 with JobPosting/datePosted=2026-08-21T00:00:00.","true"
"Salesforce","manual","","^https://careers\.salesforce\.com/en/jobs/[A-Za-z0-9-]+/[^?#]+/?$","careers.salesforce.com/robots.txt returned 404 and career URLs currently redirect to www.salesforce.com","The careers migration makes prior job URLs and interfaces unreliable. Do not rely on search-engine-cached pages or reverse-engineer the new frontend; wait for a stable first-party sitemap/feed and re-review terms.","Current careers and sampled historical job URLs redirected to a generic www.salesforce.com careers jobs page returning 200. No usable job sitemap was found, and the current response did not expose JobPosting/datePosted for the requested requisition.","false"
"IBM","sitemap","https://careers.ibm.com/careers/sitemap_index.xml","^https://careers\.ibm\.com/en_US/careers/JobDetail/[^/]+/[0-9]+/?$","200; robots.txt explicitly Allows /careers and declares the sitemap index","The advertised locale child is presently not a usable feed. Do not substitute stale ibmglobal.avature.net search results or scrape undocumented search actions.","Sitemap index returned 200 XML and pointed to /en_US/careers/sitemap.xml, but that child returned HTTP 202 with a zero-byte body in current testing. No monitorable live job list was available.","false"
"Oracle","manual","","^https://careers\.oracle\.com/en/sites/jobsearch/job/[0-9]+/?(?:\?.*)?$","careers.oracle.com/robots.txt resolves to the site's 404 error page; no job sitemap was found","Oracle Candidate Experience relies on undocumented HCM REST calls. With no affirmative robots/feed signal, do not enable those endpoints without Oracle authorization or a documented public contract.","Public search shell returned 200 but contained no static job links or JobPosting metadata. Sample live job 343495 returned 200 and visibly renders posting details in a browser, but raw HTML exposed no JobPosting/datePosted.","false"
"Dell Technologies","manual","","^https://enterpriseplatform\.dell\.com/hcmUI/CandidateExperience/en/sites/(?:careers|CX)/job/[A-Za-z0-9-]+/?(?:\?.*)?$","enterpriseplatform.dell.com/robots.txt returned 404; no job sitemap was found","The Oracle Candidate Experience catalog is backed by undocumented REST calls. Do not enable them in the absence of an affirmative robots policy or documented public endpoint.","Search shell returned 200 but no static job links/JobPosting metadata. A sampled job URL returned 200 but exposed neither JobPosting JSON-LD nor datePosted, and the requisition was expired.","false"
