canonical_name,domain,careers_url,ats_type,ats_identifier/base_url,sponsorship_confidence,sponsorship_recent_year,evidence_summary,evidence_url(s),role_fit_tags,caveats,sector,fy2025_q4_certified_records,fy2025_q4_softwareish_records,fy2025_q4_change_employer_positions,matched_legal_employers
Salesforce,salesforce.com,https://www.salesforce.com/company/careers/jobs/,custom,https://www.salesforce.com/company/careers/jobs/,high,FY2025-Q4,DOL OFLC FY2025 Q4: 445 certified/certified-withdrawn LCA records matched to named legal employer(s); 410 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=140.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Large catalog; retain hands-on IC roles in the target experience band.,Enterprise SaaS,445,410,140,"Salesforce, Inc. (445)"
ServiceNow,servicenow.com,https://careers.servicenow.com/jobs/,smartrecruiters,ServiceNow,high,FY2025-Q4,DOL OFLC FY2025 Q4: 116 certified/certified-withdrawn LCA records matched to named legal employer(s); 99 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=81.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Product and platform teams are the best match.,Enterprise SaaS,116,99,81,"ServiceNow, Inc. (116)"
Adobe,adobe.com,https://careers.adobe.com/us/en/search-results,phenom,https://careers.adobe.com/us/en/search-results,high,FY2025-Q4,DOL OFLC FY2025 Q4: 136 certified/certified-withdrawn LCA records matched to named legal employer(s); 111 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=44.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Prioritize cloud platform and security roles over creative-client roles.,Enterprise SaaS,136,111,44,Adobe Inc. (136)
Workday,workday.com,https://workday.wd5.myworkdayjobs.com/Workday,workday,workday:wd5:Workday,high,FY2025-Q4,DOL OFLC FY2025 Q4: 53 certified/certified-withdrawn LCA records matched to named legal employer(s); 49 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=11.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Some roles are Workday-product specialists rather than general backend engineering.,Enterprise SaaS,53,49,11,"Workday, Inc. (53)"
Atlassian,atlassian.com,https://www.atlassian.com/company/careers/all-jobs,custom,https://www.atlassian.com/company/careers/all-jobs,high,FY2025-Q4,DOL OFLC FY2025 Q4: 92 certified/certified-withdrawn LCA records matched to named legal employer(s); 80 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=38.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;AWS,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Remote/location eligibility must be checked per requisition.,Enterprise SaaS,92,80,38,"Atlassian US, Inc. (60); Atlassian US, Inc (31); Atlassian US Inc (1)"
Snowflake,snowflake.com,https://careers.snowflake.com/us/en/search-results,phenom,https://careers.snowflake.com/us/en/search-results,high,FY2025-Q4,DOL OFLC FY2025 Q4: 110 certified/certified-withdrawn LCA records matched to named legal employer(s); 100 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=64.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Many core database roles have a high systems/C++ bar; target services and cloud-platform teams.,Enterprise SaaS,110,100,64,Snowflake Inc. (110)
Datadog,datadoghq.com,https://careers.datadoghq.com/,greenhouse,datadog,high,FY2025-Q4,DOL OFLC FY2025 Q4: 25 certified/certified-withdrawn LCA records matched to named legal employer(s); 20 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=9.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Senior leveling varies by team; verify years and scope.,Enterprise SaaS,25,20,9,"Datadog, Inc. (25)"
Cloudflare,cloudflare.com,https://www.cloudflare.com/careers/jobs/,greenhouse,cloudflare,high,FY2025-Q4,DOL OFLC FY2025 Q4: 27 certified/certified-withdrawn LCA records matched to named legal employer(s); 24 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=10.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Some roles are network-systems focused; retain application/platform/security matches.,Enterprise SaaS,27,24,10,"CLOUDFLARE, INC. (27)"
MongoDB,mongodb.com,https://www.mongodb.com/company/careers/teams/engineering,greenhouse,mongodb,high,FY2025-Q4,DOL OFLC FY2025 Q4: 45 certified/certified-withdrawn LCA records matched to named legal employer(s); 39 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=91.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;cloud,Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Core storage roles may expect database internals; cloud control-plane teams are closer fits.,Enterprise SaaS,45,39,91,"MONGODB, INC. (45)"
Confluent,confluent.io,https://careers.confluent.io/open-positions/united_states,custom,https://careers.confluent.io/open-positions/united_states,high,FY2025-Q4,DOL OFLC FY2025 Q4: 34 certified/certified-withdrawn LCA records matched to named legal employer(s); 31 had software/engineering/platform/security/cloud-like titles; CHANGE_EMPLOYER positions=7.,https://www.dol.gov/sites/dolgov/files/ETA/oflc/pdfs/LCA_Disclosure_Data_FY2025_Q4.xlsx; https://www.dol.gov/agencies/eta/foreign-labor/performance,backend;distributed-systems;platform;security;SRE;Java;Kafka;AWS,"Employer-level LCA evidence is not a promise that a particular requisition sponsors or transfers H-1B. Excellent domain fit, but many open IC roles are senior/staff; enforce YOE filters.",Enterprise SaaS,34,31,7,"Confluent, Inc. (34)"
